JobID           JobName      State    Elapsed ExitCode 
210_18.batch      batch  CANCELLED   00:00:00     0:53 
210_19       cpu_single     FAILED   00:00:00     0:53 
210_19.batch      batch  CANCELLED   00:00:00     0:53 
210_20       cpu_single     FAILED   00:00:00     0:53 
210_20.batch      batch  CANCELLED   00:00:00     0:53 
210_21       cpu_single     FAILED   00:00:00     0:53 
210_21.batch      batch  CANCELLED   00:00:00     0:53 
210_22       cpu_single     FAILED   00:00:00     0:53 
210_22.batch      batch  CANCELLED   00:00:00     0:53 
210_23       cpu_single     FAILED   00:00:00     0:53 
210_23.batch      batch  CANCELLED   00:00:00     0:53 
210_24       cpu_single     FAILED   00:00:00     0:53 
210_24.batch      batch  CANCELLED   00:00:00     0:53 
210_25       cpu_single     FAILED   00:00:00     0:53 
210_25.batch      batch  CANCELLED   00:00:00     0:53 
210_26       cpu_single     FAILED   00:00:00     0:53 
210_26.batch      batch  CANCELLED   00:00:00     0:53 
210_27       cpu_single     FAILED   00:00:00     0:53 
210_27.batch      batch  CANCELLED   00:00:00     0:53 
210_28       cpu_single     FAILED   00:00:00     0:53 
210_28.batch      batch  CANCELLED   00:00:00     0:53 
210_29       cpu_single     FAILED   00:00:00     0:53 
210_29.batch      batch  CANCELLED   00:00:00     0:53 
210_30       cpu_single     FAILED   00:00:00     0:53 
210_30.batch      batch  CANCELLED   00:00:00     0:53 
210_31       cpu_single     FAILED   00:00:00     0:53 
210_31.batch      batch  CANCELLED   00:00:00     0:53 
210_32       cpu_single     FAILED   00:00:00     0:53 
210_32.batch      batch  CANCELLED   00:00:00     0:53 
210_33       cpu_single     FAILED   00:00:00     0:53 
210_33.batch      batch  CANCELLED   00:00:00     0:53 
210_34       cpu_single     FAILED   00:00:00     0:53 
210_34.batch      batch  CANCELLED   00:00:00     0:53 
210_35       cpu_single     FAILED   00:00:00     0:53 
210_35.batch      batch  CANCELLED   00:00:00     0:53 
210_36       cpu_single     FAILED   00:00:00     0:53 
210_36.batch      batch  CANCELLED   00:00:00     0:53 
211_1        cpu_paral+     FAILED   00:00:00     0:53 
211_1.batch       batch  CANCELLED   00:00:00     0:53 
211_2        cpu_paral+     FAILED   00:00:00     0:53 
211_2.batch       batch  CANCELLED   00:00:00     0:53 
211_3        cpu_paral+     FAILED   00:00:00     0:53 
211_3.batch       batch  CANCELLED   00:00:00     0:53 
211_4        cpu_paral+     FAILED   00:00:00     0:53 
211_4.batch       batch  CANCELLED   00:00:00     0:53 
211_5        cpu_paral+     FAILED   00:00:00     0:53 
211_5.batch       batch  CANCELLED   00:00:00     0:53 
211_6        cpu_paral+     FAILED   00:00:00     0:53 
211_6.batch       batch  CANCELLED   00:00:00     0:53 
211_7        cpu_paral+     FAILED   00:00:00     0:53 
211_7.batch       batch  CANCELLED   00:00:00     0:53 
211_8        cpu_paral+     FAILED   00:00:00     0:53 
211_8.batch       batch  CANCELLED   00:00:00     0:53 
211_9        cpu_paral+     FAILED   00:00:00     0:53 
211_9.batch       batch  CANCELLED   00:00:00     0:53 
211_10       cpu_paral+     FAILED   00:00:00     0:53 
211_10.batch      batch  CANCELLED   00:00:00     0:53 
211_11       cpu_paral+     FAILED   00:00:00     0:53 
211_11.batch      batch  CANCELLED   00:00:00     0:53 
211_12       cpu_paral+     FAILED   00:00:00     0:53 
211_12.batch      batch  CANCELLED   00:00:00     0:53 
211_13       cpu_paral+     FAILED   00:00:00     0:53 
211_13.batch      batch  CANCELLED   00:00:00     0:53 
211_14       cpu_paral+     FAILED   00:00:00     0:53 
211_14.batch      batch  CANCELLED   00:00:00     0:53 
211_15       cpu_paral+     FAILED   00:00:00     0:53 
211_15.batch      batch  CANCELLED   00:00:00     0:53 
211_16       cpu_paral+     FAILED   00:00:00     0:53 
211_16.batch      batch  CANCELLED   00:00:00     0:53 
211_17       cpu_paral+     FAILED   00:00:00     0:53 
211_17.batch      batch  CANCELLED   00:00:00     0:53 
211_18       cpu_paral+     FAILED   00:00:00     0:53 
211_18.batch      batch  CANCELLED   00:00:00     0:53 
211_19       cpu_paral+     FAILED   00:00:00     0:53 
211_19.batch      batch  CANCELLED   00:00:00     0:53 
211_20       cpu_paral+     FAILED   00:00:00     0:53 
211_20.batch      batch  CANCELLED   00:00:00     0:53 
211_21       cpu_paral+     FAILED   00:00:00     0:53 
211_21.batch      batch  CANCELLED   00:00:00     0:53 
211_22       cpu_paral+     FAILED   00:00:00     0:53 
211_22.batch      batch  CANCELLED   00:00:00     0:53 
211_23       cpu_paral+     FAILED   00:00:00     0:53 
211_23.batch      batch  CANCELLED   00:00:00     0:53 
211_24       cpu_paral+     FAILED   00:00:00     0:53 
211_24.batch      batch  CANCELLED   00:00:00     0:53 
